time_us,encoder_value
6055999, 294690
6066009, 295494
6076019, 296286
6086029, 297080
6096038, 297874
6106048, 298672
6116058, 299469
6126068, 300263
6136077, 301059
6146087, 301857
6156097, 302657
6166107, 303456
6176116, 304253
6186126, 305053
6196136, 305855
6206146, 306657
6216156, 307455
6226165, 308255
6236175, 309060
6246185, 309864
6256195, 310666
6266204, 311465
6276214, 312272
6286224, 313075
6296234, 313884
6306243, 314688
6316253, 315493
6326263, 316298
6336273, 317107
6346282, 317915
6356292, 318719
6366302, 319523
6376312, 320339
6386322, 321147
6396331, 321956
6406341, 322763
6416351, 323574
6426361, 324383
6436370, 325197
6446380, 326007
6456390, 326816
6466400, 327623
6476409, 328441
6486419, 329253
6496429, 330066
6506439, 330879
6516448, 331692
6526458, 332508
6536468, 333325
6546478, 334139
6556488, 334953
6566497, 335764
6576507, 336589
6586517, 337406
6596527, 338222
6606536, 339039
6616546, 339857
6626556, 340676
6636566, 341496
6646575, 342315
6656585, 343132
6666595, 343949
6676605, 344778
6686614, 345598
6696624, 346418
6706634, 347239
6716644, 348060
6726654, 348885
6736663, 349710
6746673, 350532
6756683, 351355
6766693, 352175
6776702, 353006
6786712, 353831
6796722, 354656
6806732, 355480
6816741, 356306
6826751, 357134
6836761, 357964
6846771, 358791
6856781, 359616
6866790, 360439
6876800, 361275
6886810, 362103
6896820, 362933
6906829, 363761
6916839, 364590
6926849, 365421
6936859, 366254
6946868, 367086
6956878, 367915
6966888, 368742
6976898, 369579
6986907, 370411
6996917, 371248
7006927, 372081
7016937, 372912
7026947, 373747
7036956, 374581
7046966, 375419
7056976, 376254
7066986, 377086
7076995, 377920
7087005, 378757
7097015, 379596
7107025, 380436
7117034, 381273
7127044, 382108
7137054, 382944
7147064, 383783
7157073, 384625
7167083, 385463
7177093, 386302
7187103, 387141
7197113, 387980
7207122, 388821
7217132, 389666
7227142, 390507
7237152, 391345
7247161, 392186
7257171, 393027
7267181, 393872
7277191, 394715
7287200, 395558
7297210, 396399
7307220, 397242
7317230, 398087
7327239, 398934
7337249, 399778
7347259, 400621
7357269, 401462
7367279, 402308
7377288, 403155
7387298, 404004
7397308, 404849
7407318, 405695
7417327, 406542
7427337, 407388
7437347, 408238
7447357, 409088
7457366, 409932
7467376, 410781
7477386, 411629
7487396, 412479
7497406, 413330
7507415, 414182
7517425, 415032
7527435, 415881
7537445, 416732
7547454, 417582
7557464, 418436
7567474, 419288
7577484, 420139
7587493, 420990
7597503, 421843
7607513, 422698
7617523, 423554
7627532, 424407
7637542, 425260
7647552, 426111
7657562, 426966
7667572, 427823
7677581, 428680
7687591, 429535
7697601, 430391
7707611, 431247
7717620, 432102
7727630, 432960
7737640, 433817
7747650, 434675
7757659, 435532
7767669, 436388
7777679, 437245
7787689, 438105
7797698, 438966
7807708, 439826
7817718, 440684
7827728, 441541
7837738, 442397
7847747, 443260
7867767, 444984
7877777, 445844
7887786, 446705
7897796, 447567
7907806, 448428
7917816, 449292
7927825, 450155
7937835, 451016
7947845, 451878
7957855, 452741
7967864, 453603
7977874, 454468
7987884, 455334
7997894, 456199
8007904, 457062
8017913, 457926
8027923, 458786
8037933, 459653
8047943, 460520
8057952, 461388
8067962, 462253
8077972, 463119
8087982, 463986
8097991, 464852
8108001, 465720
8118011, 466587
8128021, 467453
8138031, 468321
8148040, 469188
8158050, 470056
8168060, 470925
8178070, 471794
8188079, 472666
8198089, 473535
8208099, 474404
8218109, 475268
8228118, 476139
8238128, 477010
8248138, 477881
8258148, 478753
8268157, 479623
8278167, 480493
8288177, 481364
8298187, 482234
8308197, 483107
8318206, 483979
8328216, 484852
8338226, 485725
8348236, 486595
8358245, 487469
8368255, 488343
8378265, 489218
8388275, 490094
8398284, 490968
8408294, 491837
8418304, 492712
8428314, 493586
8438323, 494461
8448333, 495338
8458343, 496216
8468353, 497092
8478363, 497967
8488372, 498841
8498382, 499714
8508392, 500593
8518402, 501470
8528411, 502349
8538421, 503225
8548431, 504103
8558441, 504980
8568450, 505856
8578460, 506735
8588470, 507612
8598480, 508492
8608489, 509369
8618499, 510248
8628509, 511125
8638519, 512004
8648529, 512885
8658538, 513767
8668548, 514648
8678558, 515527
8688568, 516403
8698577, 517283
8708587, 518163
8718597, 519045
8728607, 519928
8738616, 520812
8748626, 521694
8758636, 522575
8768646, 523455
8778656, 524331
8788665, 525215
8798675, 526099
8808685, 526984
8818695, 527867
8828704, 528752
8838714, 529634
8848724, 530518
8858734, 531400
8868743, 532282
8878753, 533170
8888763, 534055
8898773, 534940
8908782, 535820
8918792, 536706
8928802, 537591
8938812, 538477
8948822, 539363
8958831, 540252
8968841, 541134
8978851, 542020
8988861, 542903
8998870, 543788
9008880, 544675
9018890, 545563
9028900, 546454
9038909, 547343
9048919, 548229
9058929, 549110
9068939, 550000
9078948, 550885
9088958, 551774
9098968, 552663
9108978, 553556
9118988, 554444
9128997, 555332
9139007, 556219
9149017, 557103
9159027, 557992
9169036, 558883
9179046, 559774
9189056, 560666
9199066, 561557
9209075, 562447
9219085, 563338
9229095, 564225
9239105, 565112
9249114, 566004
9259124, 566898
9269134, 567788
9279144, 568679
9289154, 569570
9299163, 570462
9309173, 571352
9319183, 572245
9329193, 573138
9339202, 574027
9349212, 574921
9359222, 575812
9369232, 576702
9379241, 577596
9389251, 578488
9399261, 579384
9409271, 580278
9419281, 581173
9429290, 582061
9439300, 582955
9449310, 583846
9459320, 584738
9469329, 585633
9479339, 586530
9489349, 587428
9499359, 588323
9509368, 589217
9519378, 590105
9529388, 591000
9539398, 591893
9549407, 592789
9559417, 593686
9569427, 594584
9579437, 595482
9589447, 596378
9599456, 597271
9609466, 598162
9619476, 599058
9629486, 599954
9639495, 600851
9649505, 601750
9659515, 602650
9669525, 603547
9679534, 604444
9689544, 605339
9699554, 606231
9709564, 607129
9719573, 608027
9729583, 608926
9739593, 609826
9749603, 610724
9759613, 611623
9769622, 612521
9779632, 613419
9789642, 614312
9799652, 615212
9809661, 616112
9819671, 617012
9829681, 617910
9839691, 618810
9849700, 619709
9859710, 620609
9869720, 621507
9879730, 622404
9889739, 623304
9899749, 624207
9909759, 625106
9919769, 626006
9929779, 626907
9939788, 627809
9949798, 628710
9959808, 629612
9969818, 630512
9979827, 631412
9989837, 632314
9999847, 633214
10009857, 634114
10019866, 635015
10029876, 635918
10039886, 636821
10049896, 637724
10059906, 638627
10069915, 639525
10079925, 640427
10089935, 641329
10099945, 642229
10119964, 644035
10129974, 644941
10139984, 645844
10149993, 646748
10160003, 647647
10170013, 648549
10180023, 649451
10190032, 650354
10200042, 651257
10210052, 652163
10220062, 653068
10230072, 653974
10240081, 654878
10250091, 655776
10260101, 656678
10270111, 657582
10280120, 658486
10290130, 659389
10300140, 660297
10310150, 661204
10320159, 662112
10330169, 663016
10340179, 663915
10350189, 664819
10360198, 665724
10370208, 666629
10380218, 667536
10390228, 668444
10400238, 669353
10410247, 670260
10420257, 671165
10430267, 672066
10440277, 672971
10450286, 673877
10460296, 674782
10470306, 675690
10480316, 676599
10490325, 677509
10500335, 678418
10510345, 679324
10520355, 680226
10530364, 681132
10540374, 682039
10550384, 682945
10560394, 683855
10570404, 684765
10580413, 685676
10590423, 686585
10600433, 687493
10610443, 688396
10620452, 689303
10630462, 690210
10640472, 691119
10650482, 692029
10660491, 692940
10670501, 693852
10680511, 694763
10690521, 695671
10700531, 696576
10710540, 697485
10720550, 698393
10730560, 699302
10740570, 700215
10750579, 701127
10760589, 702040
10770599, 702951
10780609, 703861
10790618, 704765
10800628, 705674
10810638, 706583
10820648, 707495
10830657, 708407
10840667, 709321
10850677, 710234
10860687, 711146
10870697, 712057
10880706, 712962
10890716, 713872
10900726, 714782
10910736, 715693
10920745, 716606
10930755, 717520
10940765, 718435
10950775, 719347
10960784, 720258
10970794, 721165
10980804, 722075
10990814, 722986
11000823, 723898
11010833, 724812
11020843, 725726
11040863, 727556
11050872, 728468
11060882, 729376
11070892, 730287
11080902, 731198
11090911, 732110
11100921, 733025
11110931, 733941
11120941, 734858
11130950, 735772
11140960, 736685
11150970, 737594
11160980, 738506
11170989, 739418
11180999, 740331
11191009, 741245
11201019, 742162
11211029, 743080
11221038, 743996
11231048, 744909
11241058, 745820
11251068, 746734
11261077, 747647
11271087, 748560
11281097, 749476
11291107, 750392
11301116, 751311
11311126, 752228
11321136, 753144
11331146, 754055
11341156, 754969
11351165, 755882
11361175, 756797
11371185, 757712
11381195, 758629
11391204, 759548
11401214, 760466
11411224, 761382
11421234, 762293
11431243, 763208
11441253, 764121
11451263, 765036
11471282, 766871
11481292, 767790
11491302, 768708
11501312, 769626
11511322, 770537
11521331, 771454
11531341, 772368
11541351, 773284
11551361, 774202
11561370, 775120
11571380, 776039
11581390, 776958
11591400, 777876
11601409, 778789
11611419, 779706
11621429, 780622
11631439, 781538
11641448, 782457
11651458, 783375
11661468, 784294
11671478, 785213
11681488, 786131
11691497, 787044
11701507, 787964
11711517, 788881
11721527, 789797
11731536, 790716
11741546, 791635
11751556, 792554
11761566, 793474
11771575, 794391
11781585, 795306
11791595, 796227
11801605, 797146
11811614, 798064
11821624, 798983
11831634, 799903
11841644, 800822
11851654, 801741
11861663, 802661
11871673, 803578
11881683, 804498
11891693, 805418
11901702, 806336
11911712, 807257
11921722, 808176
11931732, 809097
11941741, 810016
11951751, 810933
11961761, 811854
11971771, 812771
11981781, 813694
11991790, 814614
12001800, 815535
12011810, 816456
12021820, 817377
12031829, 818296
12041839, 819214
12051849, 820135
12061859, 821054
12071868, 821975
12081878, 822897
12091888, 823820
12101898, 824742
12111907, 825663
12121917, 826584
12131927, 827501
12141937, 828420
12161956, 830264
12171966, 831185
12181976, 832109
12191986, 833033
12201995, 833956
12212005, 834877
12222015, 835796
12232025, 836720
12242034, 837639
12252044, 838561
12262054, 839485
12272064, 840409
12282073, 841335
12292083, 842259
12302093, 843181
12312103, 844098
12322113, 845019
12332122, 845941
12342132, 846863
12352142, 847785
12362152, 848712
12372161, 849638
12382171, 850564
12392181, 851488
