time_us,encoder_value
5125122, 219521
5135131, 220256
5145141, 220995
5155151, 221731
5165161, 222465
5175170, 223201
5185180, 223941
5195190, 224678
5205200, 225415
5215209, 226160
5225219, 226901
5235229, 227641
5245239, 228384
5255249, 229129
5265258, 229871
5275268, 230612
5285278, 231357
5295288, 232105
5305297, 232850
5315307, 233594
5325317, 234345
5335327, 235095
5345336, 235842
5355346, 236592
5365356, 237345
5375366, 238095
5385375, 238844
5395385, 239595
5405395, 240349
5415405, 241101
5425415, 241852
5435424, 242609
5445434, 243367
5455444, 244122
5465454, 244878
5475463, 245637
5485473, 246395
5495483, 247152
5505493, 247909
5515502, 248670
5525512, 249430
5535522, 250188
5545532, 250949
5555541, 251714
5565551, 252476
5575561, 253238
5585571, 254001
5595581, 254767
5605590, 255531
5615600, 256294
5625610, 257060
5635620, 257828
5645629, 258595
5655639, 259360
5665649, 260129
5675659, 260902
5685668, 261670
5695678, 262438
5705688, 263207
5715698, 263980
5725708, 264751
5735717, 265521
5745727, 266292
5755737, 267070
5765747, 267842
5775756, 268615
5785766, 269391
5795776, 270168
5805786, 270944
5815795, 271719
5825805, 272494
5835815, 273273
5845825, 274052
5855834, 274828
5865844, 275606
5875854, 276388
5885864, 277171
5895874, 277950
5905883, 278731
5915893, 279514
5925903, 280299
5935913, 281079
5945922, 281861
5955932, 282645
5965942, 283433
5975952, 284218
5985961, 285002
5995971, 285790
6005981, 286578
6015991, 287366
6026000, 288151
6036010, 288938
6046020, 289727
6056030, 290518
6066040, 291307
6076049, 292095
6086059, 292885
6096069, 293682
6106079, 294472
6116088, 295263
6126098, 296054
6136108, 296848
6146118, 297644
6156127, 298436
6166137, 299228
6176147, 300025
6186157, 300826
6196166, 301621
6206176, 302416
6216186, 303212
6226196, 304012
6236206, 304811
6246215, 305608
6256225, 306405
6266235, 307205
6276245, 308010
6286254, 308809
6296264, 309608
6306274, 310410
6316284, 311214
6326293, 312019
6336303, 312820
6346313, 313623
6356323, 314427
6366333, 315234
6376342, 316039
6386352, 316843
6396362, 317646
6406372, 318455
6416381, 319264
6426391, 320070
6436401, 320876
6446411, 321682
6456420, 322492
6466430, 323302
6476440, 324109
6486450, 324918
6496459, 325726
6506469, 326541
6516479, 327353
6526489, 328162
6536499, 328973
6546508, 329786
6556518, 330601
6566528, 331414
6576538, 332226
6586547, 333039
6596557, 333854
6606567, 334673
6616577, 335488
6626586, 336301
6636596, 337117
6646606, 337934
6656616, 338754
6666625, 339571
6676635, 340388
6686645, 341205
6696655, 342024
6706665, 342848
6716674, 343666
6726684, 344485
6736694, 345305
6746704, 346127
6756713, 346952
6766723, 347774
6776733, 348594
6786743, 349415
6796752, 350238
